DATE,T10Y2Y,NASDAQ_RSI,WILSHIRE_RSI,GOLD_RSI,DGS30_RSI
1980-01-04,-0.81,0,0,0,0
1980-01-07,-0.72,0,0,0,0
1980-01-08,-0.69,0,0,0,0
1980-01-09,-0.66,0,0,0,0
1980-01-10,-0.67,0,0,0,0
1980-01-11,-0.65,0,0,0,0
1980-01-14,-0.65,0,0,0,0
1980-01-15,-0.67,0,0,0,0
1980-01-16,-0.65,0,0,0,0
1980-01-17,-0.66,0,0,0,0
1980-01-18,-0.7,0,0,0,0
1980-01-21,-0.62,0,0,0,0
1980-01-22,-0.71,0,0,0,0
1980-01-23,-0.71,94.78632479,89.05053599,54.63121784,73.61111111
1980-01-24,-0.67,95.09646302,89.49191686,58.99224806,79.12087912
1980-01-25,-0.72,95.04065041,88.59745391,54.58167331,81.55339806
1980-01-28,-0.64,94.57295374,87.24996932,50.98623,87.87878788
1980-01-29,-0.67,90.49394222,80.25904938,55.59105431,88.78504673
1980-01-30,-0.68,90.01956947,80.95716198,56.60770031,90.47619048
1980-01-31,-0.62,89.71774194,73.43131124,53.84360504,87.36842105
1980-02-01,-0.75,89.73843058,74.57610213,51.88255613,88.78504673
1980-02-04,-0.72,86.54244306,67.66431341,49.27797834,89.65517241
1980-02-05,-0.76,85.24404086,68.32261835,41.63643692,91.83673469
1980-02-06,-0.5,88.1104034,72.49438202,47.39183178,92.25806452
1980-02-07,-0.5,88.65248227,73.21428571,38.51606805,86.57718121
1980-02-08,-0.51,88.95463511,74.40187385,35.34155598,85.18518519
1980-02-11,-0.59,85.9047619,74.22800868,44.87315011,91.94630872
1980-02-12,-0.625,83.61018826,71.89405661,57.24881996,88.96103896
1980-02-13,-0.66,82.98850575,71.65932452,47.39747634,83.68794326
1980-02-14,-0.63,69.83471074,61.5821437,49.42434211,83.08823529
1980-02-15,-0.93,59.62732919,53.04118774,58.92156863,85.06493506
1980-02-19,-1.11,53.58139535,52.70045206,46.28571429,88.20512821
1980-02-20,-1.19,53.71057514,54.73244782,32.93478261,86.4321608
1980-02-21,-1.29,48.02158273,54.34471324,45.02314815,88.53211009
1980-02-22,-1.46,40.59322034,49.50302842,42.57075472,80.63063063
1980-02-25,-1.35,35.14306676,45.66618911,39.67032967,80.71748879
1980-02-26,-1.26,36.76680973,47.41767764,44.63894967,79.22705314
1980-02-27,-1.36,31.16045845,39.30074678,33.37468983,74.25742574
1980-02-28,-1.49,26.54275093,37.03521127,33.7037037,62.2406639
1980-02-29,-2.01,21.21212121,35.00763248,37.16931217,60.90534979
1980-03-03,-2.04,20.6041828,34.47880871,26.65662651,58.33333333
1980-03-04,-1.95,17.85714286,30.56498454,27.83018868,60.44444444
1980-03-05,-1.96,13.1127451,25.60801144,33.12401884,62.94642857
1980-03-06,-2.14,11.15745568,24.0576,33.12401884,65.41666667
1980-03-07,-2.34,10.36319613,22.62277323,29.67651195,58.36909871
1980-03-10,-2.08,9.911996295,22.37366823,31.92133132,41.34615385
1980-03-11,-2.02,8.941947566,19.91403132,32.6625387,39.81481481
1980-03-12,-2.12,9.593023256,20.15161872,29.15309446,41.44144144
1980-03-13,-2.19,11.79149798,19.28061831,28.19785759,41.07142857
1980-03-14,-2.28,12.80923584,21.01477449,21.13341204,38.88888889
1980-03-17,-2.24,8.035714286,13.8557856,14.81481481,33.83084577
1980-03-18,-2.02,8.032128514,22.09416114,14.9321267,32.0754717
1980-03-19,-1.98,12.28978008,24.10359621,25.3968254,40.47619048
1980-03-20,-2.41,9.934640523,18.04252161,36.7003367,49.20634921
1980-03-21,-2.27,10.07512152,18.302587,34.0625,48.93617021
1980-03-24,-2.19,8.997632202,15.58292884,36.27978478,57.52212389
1980-03-25,-2.09,9.127301841,16.5178138,35.48638132,56.05381166
1980-03-26,-2.23,10.86749285,18.48150763,33.8028169,48.0952381
1980-03-27,-2.14,8.552138035,18.75447782,33.11546841,50
1980-03-28,-2.17,25.32334922,31.11842762,33.90804598,52.60416667
1980-03-31,-1.99,27.63852243,31.74493327,39.98476771,55.19125683
1980-04-01,-1.9,32.26304415,34.15654453,37.20379147,48.75
1980-04-02,-1.89,36.77233429,39.11841499,37.76459269,53.06122449
1980-04-03,-1.99,37.73639802,39.09239742,47.67206478,52.05479452
1980-04-07,-1.72,40.22952854,42.12238148,55.21917376,41.08108108
1980-04-08,-1.68,42.98489053,40.73718672,59.04645477,45.50898204
1980-04-09,-1.48,44.05446293,45.47956587,57.05128205,44.70588235
1980-04-10,-1.51,46.52532391,50.91918504,44.47300771,34
1980-04-11,-1.43,48.43703483,52.68234529,49.14772727,27.27272727
1980-04-14,-1.34,53.37926509,60.04199605,46.66269368,3.149606299
1980-04-15,-1.15,56.74921521,60.93769588,36.78963111,3.125
1980-04-16,-1.07,56.10344828,58.79293662,47.05279344,2.312138728
1980-04-17,-0.84,73.6865942,63.38918954,58.06451613,6.857142857
1980-04-18,-0.71,65.88373459,53.54949071,57.04567541,7.453416149
1980-04-21,-0.66,56.16844603,43.93343171,51.1103519,7.547169811
1980-04-22,-0.61,57.40634006,55.4926461,47.76500639,5.095541401
1980-04-23,-0.49,53.52201258,54.14375754,52.64590263,10.12658228
1980-04-24,-0.46,57.67468499,58.01880632,56.92354004,16.07142857
1980-04-25,-0.44,64.46862996,68.60843766,62.39653134,24.06015038
1980-04-28,-0.11,63.65422397,66.94101509,54.35513052,19.63190184
1980-04-29,-0.07,61.48507981,61.99737188,40.91394976,21.875
1980-04-30,-0.05,59.81173063,59.8630644,44.55205811,22.58064516
1980-05-01,-0.13,57.06959707,55.38435199,43.61337898,23.17880795
1980-05-02,0.2,63.62252664,61.25800167,44.04077365,20.23121387
1980-05-05,0.33,67.03296703,64.98487275,55.7844691,19.23076923
1980-05-06,0.4,72.76565799,72.62773723,51.39372822,25.36231884
1980-05-07,0.55,81.46341463,78.45872619,49.24874791,20.14925373
1980-05-08,0.7,79.53296703,75.04371032,50.64935065,28.37837838
1980-05-09,0.45,87.86039454,71.97069985,51.31578947,32.02614379
1980-05-12,0.78,84.03755869,59.04397706,55.71428571,33.76623377
1980-05-13,0.75,83.93194707,63.48863636,51.26705653,27.32919255
1980-05-14,0.87,83.60655738,63.28419609,51.64410058,21.56862745
1980-05-15,0.83,91.19318182,61.41930836,30.93333333,28.57142857
1980-05-16,0.61,91.19318182,61.63123955,37.58911212,38.46153846
1980-05-19,0.75,90.46153846,61.20970663,51.8783542,43.22580645
1980-05-20,0.96,86.83651805,58.85364635,41.40127389,38.06818182
1980-05-21,0.94,88.05166846,68.04932735,54.40528634,38.28571429
1980-05-22,0.97,88.82175227,72.73705608,47.3628692,45.75163399
1980-05-23,1.12,89.58724203,75.27919332,46.51661308,42.1686747
